"","id","description"
"5146","wantads","Answered advertisements for jobs"
"5147","adforjob","Advertised for a job in newspapeR's"
"5148","appemps","Applied directly to employers"
"5149","askhelp","Asked relatives friends colleagues to help"
"5150","econsup","Main source of economic support"
"5151","hapunhap","Happy or unhappy with life today"
"5152","stiffpun","Lawbreakers should get stiffer sentences"
"5153","deathpen","Murderers should get death penalty"
"5154","premars1","Is premarital sex wrong?"
"5155","xmarsex1","Is extramarital sex wrong?"
"5156","homosex1","Is homosexual sex wrong?"
"5157","abdefct1","Law should allow abortion for birth defects"
"5158","abpoor1","Law should allow abortion if family low income"
"5159","abdefctw","Wrong for woman to get abortion for birth defects"
"5160","abpoorw","Wrong for woman to get abortion if low income?"
"5161","taxcheat","Wrong to cheat on taxes?"
"5162","govcheat","Wrong to give govt false info for benefits?"
"5163","concong","Confidence in us congress"
"5164","conbiz","Confidence in business and industry"
"5165","congovt","Confidence in government departments"
"5166","conchurh","Confidence in churches and religious orgs"
"5167","concourt","Confidence in courts and legal system"
"5168","conschls","Confidence in schools and educ system"
"5169","polsgod","Atheists shouldn't hold public office"
"5170","clergvte","Clergy shouldn't try to influence voters"
"5171","religpub","Better if more believers held public office"
"5172","clerggov","Clergy shouldn't try to influence govt decisions"
"5173","churhpow","Do churches have too much power?"
"5174","godchnge","Describe your beliefs about god"
"5175","afterlif","Belief in life after death"
"5176","devil","Belief in the devil"
"5177","heaven","Belief in heaven"
"5178","hell","Belief in hell"
"5179","miracles","Belief in religious miracles"
"5180","bible1","Describe your feelings about the bible"
"5181","theism","God concerned with human beings Personally"
"5182","fatalism","People can't change the course of their lives"
"5183","godmeans","Life meaningful because god exists"
"5184","nihilism","Life serves no purpose"
"5185","predeter","God decides the course of our lives"
"5186","egomeans","Life meaningful only if you provide meaning"
"5187","ownfate","We each make our own fate"
"5188","relexper","Turning point in life for religion"
"5189","marelkid","Mothers religion when R was child"
"5190","madenkid","If protestant, Mothers denomination"
"5191","parelkid","Father's religion when R was child"
"5192","padenkid","If protestant, Father's denomination"
"5193","religkid","Religion R was raised in"
"5194","denkid","If protestant, denomination R raised in"
"5195","religsp","R's spouse's religion"
"5196","densp","If protestant, R's spouse's denomination"
"5197","attendma","Freq of R's mom's relig svc attendance"
"5198","attendpa","Freq of R's dad's relig svc attendance"
"5199","attend12","Freq of R's relig svc attendance at age 12"
"5200","prayfreq","How often does R pray"
"5201","relactiv","How often does R take part in relig activities"
"5202","relactiv1","How often does R take part in relig activities"
"5203","feelrel","How religious Is R"
"5204","schlpray","Should there be daily prayer in public schools?"
"5205","godright","God's laws should decide right and wrong"
"5206","socright","Society's laws should decide right and wrong"
"5207","perright","Conscience should decide right and wrong"
"5208","antirel","Anti-religious material should be banned"
"5209","befair","How often do you think people take advantage"
"5210","cantrust","People can be trusted or cant be too careful"
"5211","trustsci","We trust too much in science"
"5212","religcon","Religions bring more conflict"
"5213","religint","Religious people are often too intolerant"
"5214","religinf","Us would be better if less religious"
"5215","volwkpol","Volunteered political activities past 12 month"
"5216","volwkchr","Volunteered charitable past 12 month"
"5217","volwkrel","Volunteered religious past 12 month"
"5218","volwkoth","Volunteered other kinds past 12 month"
"5219","reltruth","How much truth in religion"
"5220","carright","What your friend has a right to expect from you"
"5221","cardo","What would you do in this situation"
"5222","geomobil","Has R moved from one kind of place to another"
"5223","relgrpeq","All religious groups in usa should have equal rights"
"5224","rspctrel","We must respect all religions"
"5225","relmarry","R accepts a person from a different religion or view from r's marrying relative"
"5226","relcand","R accepts a person from a different religion or view from r's being candidate of party R prefers"
"5227","relext1","Religious extremists should be allowed to hold public meeting to express views"
"5228","relext2","People should be allowed to publish books expressing their views"
"5229","reincar","Believe in reincarnation"
"5230","nirvana","Believe in nirvana"
"5231","ancestrs","Believe in supernatural power of deceased ancestors"
"5232","mywaygod","R has own way of connecting with god without churches or religious services"
"5233","relobjct","For religious reasons R has in home shrine, altar, or religious object on display"
"5234","vistholy","How often R visits holy place for religious reasons"
"5235","relsprt","Is R spiritual person"
"5236","paxhappy","Religion helps people to find inner peace and happiness"
"5237","makefrnd","Religion helps people to make friends"
"5238","comfort","Religion helps people to gain comfort in times of trouble and sorrow"
"5239","rightpeo","Religion helps people to meet the right kind of people"
"5240","perscrfc","R made some Personal sacrifice as an expression of faith by fasting, giving up activity, etc."
"5241","obeythnk","Should chldrn be obedient or think for selves"
"5242","privent","Private enterprise will solve U.S. problems"
"5243","postmat1","Highest priority for America"
"5244","postmat2","2nd highest priority for America"
"5245","scifaith","Believe too much in science, not enough faith"
"5246","harmgood","Modern science does more harm than good"
"5247","sciworse","Humans change nature for the worse"
"5248","scigrn","Modern science will solve envir probs"
"5249","grnecon","Worry too much about envir, too little econ"
"5250","harmsgrn","Almost everything we do harms envir"
"5251","anrights","Animals have rights too"
"5252","resnatur","Humans should respect naturecreated by god"
"5253","grnprog","Worry too much about progress harming envir"
"5254","naturpax","Nature would be at peace if humans left alone"
"5255","grwthelp","Amer needs econ grwth to protect envir"
"5256","antests","Ok to test on animals to save humans"
"5257","naturwar","Nature is survival of fittest"
"5258","grwtharm","Econ grwth always harms envir"
"5259","naturgod","Relationship of nature to god"
"5260","grnprice","Pay higher prices to help envir?"
"5261","grntaxes","Pay higher taxes to help envir?"
"5262","grnsol","Accept cut in living stnds to help envir?"
"5263","toodifme","Too diff to do anything about envir"
"5264","ihlpgrn","Do what i can to help envir"
"5265","scitest1","Humans make all radioactivity"
"5266","scitest2","Antibiotics kill bacteria not viruses"
"5267","scitest3","Astrology has some scientific truth"
"5268","scitest4","Humans evolved from animals"
"5269","scitest5","All man-made chems cause cancer"
"5270","grntest1","All will die if exposed to radioact"
"5271","grntest2","Nuke waste dangerous for thousands of yrs"
"5272","grntest3","Greenhouse effect caused by hole in atmosphere"
"5273","grntest4","Using coal or gas contrib to greenhouse effect"
"5274","grntest5","All pesticides cause cancer"
"5275","grntest6","Humans are main cause of plant & animal extinct"
"5276","grntest7","CaR's not imp cause of air pollution"
"5277","carsgen","Car pollution danger to envir"
"5278","carsfam","Car pollution danger to my family"
"5279","carsten","Car pollution will increase in next 10 yrs"
"5280","nukegen","Nuke power danger to envir"
"5281","nukefam","Nuke power danger to my family"
"5282","indusgen","Indust air pollution danger to envir"
"5283","indusfam","Indust air pollution danger to my family"
"5284","chemgen","Pesticides danger to envir"
"5285","chemfam","Pesticides danger to my family"
"5286","watergen","Water pollution danger to envir"
"5287","waterfam","Water pollution danger to my family"
"5288","tempgen","Greenhouse effect danger to envir"
"5289","tempfam","Greenhouse effect danger to my family"
"5290","pubdecid","Govt should let peop decide how to protect envir"
"5291","busdecid","Govt should let biz decide how to protect envir"
"5292","recycle","Recycle cans bottles"
"5293","chemfree","Buy pesticide free fruits, vegetables"
"5294","nomeat","Refuse to eat meat for envir reasons"
"5295","drivless","Drive less for envir reasons"
"5296","grngroup","Member of envir group"
"5297","grnsign","Sign petition on envir issue"
"5298","grnmoney","Give money to envir group"
"5299","grndemo","Protested for envir issue"
"5300","comtype","Type of community in which R lives"
"5301","popgrwth","Earth cannot support population growth"
"5302","impgrn","More important in life than save environment"
"5303","othssame","No saving environment unless others do same"
"5304","grnexagg","Environmental threats exaggerated"
"5305","genegen","How dangerous modifying genes in crops"
"5306","amprogrn","American doing enough to protect environment"
"5307","bizpeop","Business people do more for environment"
"5308","govtbiz","Government do more for environment"
"5309","peopgovt","People do more for environment than govt"
